cve_ent,municipalitie,population,total_cases,cases_rate,cases_rate_last_60_days,total_deaths,deaths_rate,deaths_rate_last_60_days,pct_obesity_up20years,pct_hypertension_up20years,pct_diabetes_up20years
01001,Aguascalientes,961977,22076,2294.857361454588,70.68776072608804,2143,222.7703988764804,7.484586429821087,31.486540869542733,14.94224242536272,7.495860721276037
01002,Asientos,50864,464,912.2365523749606,29.49040578798364,36,70.77697389116074,1.9660270525322427,32.28228424466143,15.320424996440655,7.953634055224973
01003,Calvillo,60760,982,1616.1948650427912,8.229098090849243,26,42.79131007241607,0.0,40.00429343772855,13.751906441825417,9.17262388925593
01004,Cosio,16918,130,768.4123418843835,29.55432084170706,12,70.93037002009693,0.0,32.596449648122636,16.43149302616921,7.383116472450958
01005,Jesus Maria,130184,779,598.3838259693971,16.13101456400172,62,47.624900141338415,0.7681435506667486,34.73171538468336,12.356755466214269,6.745818679991173
01006,Pabellon de Arteaga,50032,863,1724.8960665174288,15.98976654940838,60,119.92324912056284,1.9987208186760477,24.057538149950084,12.840819228947888,7.382441375366413
01007,Rincon de Romos,57981,701,1209.0167468653524,29.319949638674736,56,96.58336351563445,6.8988116796881735,31.74328816356314,14.33667404022898,6.895364594781293
01008,San Jose de Gracia,9661,120,1242.1074422937586,31.05268605734396,7,72.4562674671359,0.0,31.3042415442112,14.919707852003143,6.161850888449476
01009,Tepezala,22743,258,1134.4149848304974,4.396957305544563,16,70.35131688871301,0.0,31.953581052365003,14.694738844636547,7.242454178043286
01010,El Llano,21947,66,300.7244725930651,18.22572561170092,15,68.34647104387844,13.669294208775687,35.057078571741044,16.55212130102922,7.6496996266396176
01011,San Francisco de los Romo,51568,255,494.4927086565313,13.574309649394973,23,44.60130313372635,0.0,39.306619286155914,11.875013627386272,7.188859314565602
02001,Ensenada,536143,9046,1687.236427594877,24.43377979382366,1280,238.742275848048,3.5438306571194627,50.17371506445733,22.24915225109473,9.777336510376902
02002,Mexicali,1087478,20343,1870.658532862274,139.68098664984487,3232,297.2014146493078,8.919720674809053,57.78209585055309,25.08627762467425,11.458360327655942
02003,Tecate,113857,1597,1402.63664069842,24.59225168413009,236,207.2775499090965,2.6348841090139388,56.129433003801644,20.0757017326274,10.098517582298475
02004,Tijuana,1789531,18195,1016.746845961316,33.863621250484066,3785,211.5079314077264,2.905789282219754,48.24778163162694,21.17583251827369,10.48406969703007
02005,Playas de Rosarito,107859,1100,1019.849989337932,29.66836332619438,116,107.54781705745464,1.8542727078871488,49.873809061578555,20.36846942924045,10.550030297164357
03001,Comondu,83051,2271,2734.464365269533,151.7140070559054,166,199.87718389905,3.6122382632358434,57.66512081589905,24.491553528638576,14.843324970090617
03002,Mulege,67727,2365,3491.960370310216,205.2357257814461,123,181.61146957638755,17.718192153793908,44.05880968896399,18.13351479229094,10.26051526117434
03003,La Paz,301961,16726,5539.12591361136,677.5709445921824,666,220.5582840168101,13.577912379413236,48.45051774909917,23.859795922044608,9.724888336171606
03008,Los Cabos,330312,13623,4124.282496548717,1196.1418295429776,496,150.1610598464482,16.953668047179637,46.58354685898646,11.655740551885659,7.517390306587855
03009,Loreto,21657,1333,6155.053793230826,156.9931200073879,35,161.61056471348755,4.617444706099644,50.86600332236021,22.1199143941761,9.619057221993605
04001,Calkini,63298,280,442.3520490378843,9.478972479383234,53,83.73092356788524,0.0,43.658475609354284,23.340043535338395,14.084826397936906
04002,Campeche,317424,4942,1556.908110287817,266.5204899440496,515,162.24356066333988,7.5608649629517615,43.1823043659216,30.920878567463514,15.02862065820251
04003,Carmen,275478,3641,1321.702640501238,154.64029795482762,455,165.1674543883722,6.534097096682856,50.32954810585001,26.9755692366449,14.359124915081825
04004,Champoton,99945,376,376.2069138025914,32.01760968532693,74,74.04072239731853,1.0005503026664666,47.28260964591477,23.57871668563722,13.415855635082188
04005,Hecelchakan,34683,345,994.7236398235448,147.0461032782631,41,118.21353400801546,5.766513854049534,41.262507544341446,20.291567665348747,13.09113007995136
04006,Hopelchen,44051,324,735.5111121200426,304.1928673582893,38,86.26364895235069,18.16076820049488,40.67779305720456,20.632553785841015,12.236161809456524
04007,Palizada,9868,58,587.758411025537,0.0,3,30.40129712201054,0.0,44.220640559736566,22.212085274480994,12.589376756657275
04008,Tenabo,11930,98,821.4585079631182,243.08466051969825,10,83.82229673093043,0.0,44.37840271332957,29.324825654354925,16.12330037525591
04009,Escarcega,63495,726,1143.3971178832978,133.86880856760374,42,66.14694070399244,1.5749271596188676,39.53330418323347,21.255980679015302,13.350658205951195
04010,Calakmul,31723,138,435.0156038205718,56.74116571572676,11,34.675156826277465,6.3045739684140845,36.80811544114987,16.18471149176748,11.100916162110554
04011,Candelaria,48722,170,348.91835310537334,8.209843602479372,25,51.31152251549609,0.0,50.95526348968485,22.205859895915246,13.556329184425973
05001,Abasolo,1130,7,619.4690265486726,0.0,1,88.49557522123894,0.0,38.44174583586613,30.02091444876023,13.210255905415432
05002,Acuña,163157,3351,2053.8499727256567,18.387197607212684,388,237.8077557199507,0.6129065869070895,43.22513866453515,18.54115508465555,12.044212905446132
05003,Allende,24705,722,2922.485326856912,28.334345274235982,41,165.95830803481076,0.0,36.88678064303755,20.55475374115196,11.2069764940485
05004,Arteaga,25477,134,525.9645955175256,7.850217843545158,21,82.42728735722416,0.0,42.533993833587836,20.797757535766138,12.51707917258315
05005,Candela,1945,19,976.8637532133675,0.0,2,102.82776349614394,0.0,41.45867018496846,24.722584821425354,12.904924866615769
